year,semi-year,code, NI , Dep , gain_on_disposition , loss_of_disposition , gain_on_appreciation , loss_of_appreciation , FFO , dividend ,dps
2023,2,481850,-16239609727,0,0,0,,,-16239609727,201000000,0
2024,1,481850,-13032813036,0,0,0,,,-13032813036,,0
2024,2,481850,-10797131008,0,0,0,,,-10797131008,5478000000,126
2025,1,481850,-4797457820,0,0,0,,,-4797457820,5522000000,127
2022,1,396690,-9016712476,3997626000,0,0,,,-5019086476,2116000000,72.8459
2022,2,396690,2025035024,3004619000,0,0,,,5029654024,4308000000,148
2023,1,396690,7621711500,3049928000,0,0,,,10671639500,4478000000,154
2023,2,396690,2459646411,3036143000,0,0,,,5495789411,4359000000,150
2024,1,396690,-1297195149,3064105000,0,0,,,1766909851,4755000000,120
2024,2,396690,-793221925,3161014000,0,0,,,2367792075,5245000000,132
2025,1,396690,1313515109,3298349000,0,0,,,4611864109,5618000000,142
2020,1,348950,-107947465,0,0,0,,,-107947465,0,0
2020,2,348950,15149976623,11706128000,0,0,,,26856104623,25337000000,153
2021,1,348950,18084166924,11579388000,0,0,,,29663554924,31464000000,190
2021,2,348950,17011995319,11638889000,0,0,,,28650884319,31464000000,190
2022,1,348950,13218402553,11581882000,0,0,,,24800284553,31464000000,190
2022,2,348950,17624948230,11758750000,0,0,,,29383698230,37501000000,190
2023,1,348950,26728872485,12036949000,0,0,,,38765821485,37501000000,190
2023,2,348950,23205162441,12250919000,0,0,,,35456081441,38488000000,195
2024,1,348950,24232916587,12548035000,0,0,,,36780951587,38488000000,195
2024,2,348950,20664851580,12813723304,0,0,,,33478574884,38488000000,195
2025,1,348950,30735019561,0,0,0,85270640000,,-54535620439,22698000000,115
2021,2,400760,1507866029,2667585000,0,0,,,4175451029,4492000000,106
2022,1,400760,3489896271,2678592000,0,0,,,6168488271,6499000000,154
2022,2,400760,3854948486,3444062000,0,0,,,7299010486,6836000000,162
2023,1,400760,531620247,3595931000,0,0,,,4127551247,5824000000,138
2023,2,400760,1981830106,3207690000,0,0,,,5189520106,6330000000,150
2024,1,400760,4039520387,3161456000,0,0,,,7200976387,5908000000,140
2024,2,400760,-1053814925,3200680000,0,0,,,2146865075,8754000000,200
2025,1,400760,-731827959,3364259000,0,0,,,2632431041,7441000000,170
2025,1,0030R0,-976838894,812167000,,,,,-164671894,2914000000,98
2025,1,448730,6058245811,2663180000,,,,,8721425811,12861000000,142
2024,2,448730,1258639747,2153727000,,,,,3412366747,11044000000,131
2024,1,448730,2711520324,2085043000,,,,,4796563324,11068000000,143
2023,2,448730,1597243844,2118003000,0,0,,,3715246844,10760000000,139
2023,1,448730,-576510181,1413148741,,,,,836638560,4517000000,58
2025,1,293940,9784917968,7358198000,,,,,17143115968,22567000000,173
2024,2,293940,3115415132,6572613000,,,,,9688028132,17070000000,175
2024,1,293940,7767742820,6169328000,,,,,13937070820,58212000000,642
2023,2,293940,6900041199,6360644000,,,,,13260685199,18039000000,186
2023,1,293940,8571385794,6567607000,,,,,15138992794,15672000000,190
2022,2,293940,4291483730,6547768000,,,,,10839251730,16049000000,195
2022,1,293940,4810675706,6370565000,,,,,11181240706,11712000000,192
2021,2,293940,1712400473,5608031000,,,,,7320431473,10918000000,177
2021,1,293940,5808946292,5314358000,,,,,11123304292,10226000000,164
2020,2,293940,2691556650,3902637000,,,,,6594193650,9654000000,153
2020,1,293940,5722267683,3170973000,,,,,8893240683,8797000000,150
2019,2,293940,3017252127,3115400000,,,,,6132652127,8324000000,140
2019,1,293940,5074884870,3101844000,,,,,8176728870,8169000000,137
2018,2,293940,-4741510360,1533481727,,,,,-3208028633,3757090909,74
2025,1,088260,6558625488,3066013812,,,,,9624639300,11022000000,174
2024,2,088260,5028748467,3066013812,,,,,8094762279,11155000000,176
2024,1,088260,8159021119,4300949124,,,,,12459970243,11813000000,186
2023,2,088260,9908135053,4300949124,,,,,14209084177,12925000000,204
2023,1,088260,8602272649,4287067000,,,,,12889339649,12673000000,200
2022,2,088260,9325677643,4279851000,,,,,13605528643,12342000000,195
2022,1,088260,9084546320,4279852000,,,,,13364398320,13337000000,210
2021,2,088260,8983988275,4279850000,,,,,13263838275,12979000000,204
2021,1,088260,7221500600,4279851000,,,,,11501351600,1137000000,179
2020,2,088260,6814080938,4275395000,,,,,11089475938,11085000000,175
2020,1,088260,6772559011,4274505000,,,,,11047064011,11085000000,175
2019,2,088260,6616279228,4274505000,,,,,10890784228,11085000000,175
2019,1,088260,6478378456,4274505000,,,,,10752883456,11085000000,175
2018,2,088260,5065502394,3659710000,,,,,8725212394,11085000000,175
2018,1,088260,4402740732,3044312000,,,,,7447052732,7447000000,118
2017,2,088260,3663608699,3044262000,,,,,6707870699,6708000000,141
