year,month,code, NI , Dep , gain_on_disposition , loss_of_disposition , gain_on_appreciation , loss_of_appreciation , gain_on_others , looss_of_others , FFO ,,,code,, dividend , dps ,
2024,8,334890,"-2,312,328,925 ", - , - ," 1,790,067,000 "," 2,745,452,000 "," 4,898,469,000 ",," 2,898,595,000 "," 4,529,350,075 ", 0.3794579284 ,-0.3812600486 ,334890,"처분이익, 수수료 등 조정"," 31,480,000,000 ", 612 ,
2025,2,334890,"-2,064,498,917 ", - , - , - ," 1,942,516,000 "," 12,137,589,000 "," 58,547,405 ",," 8,072,026,678 ", 0.7821600328 , 1.4584147868 ,334890,배당수익++++," 8,891,000,000 ", 173 ,
2020,5,338100," 2,499,803,195 ",,,," 125,645,539 ",,,," 2,374,157,656 ",-0.7058783685 ,-0.4758281836 ,338100,," 2,370,000,000 ", 127 ,
2020,11,338100," 2,731,823,824 ",,,," 513,520,564 ",,,," 2,218,303,260 ",-0.0656461864 ,-0.7251863319 ,338100,," 2,221,000,000 ", 119 ,
2021,5,338100," 2,006,501,716 ",,,," 88,154,684 "," 416,078,616 ",,," 2,334,425,648 ", 0.0523473910 ,-0.0167352020 ,338100,," 2,333,000,000 ", 125 ,
2021,11,338100," 3,874,286,268 ",,,," 1,569,675,494 ",,,," 2,304,610,774 ",-0.0127718242 , 0.0389069951 ,338100,," 2,295,000,000 ", 123 ,
2022,5,338100," 2,318,916,515 ",,,," 269,954,430 "," 10,926,930 ",,," 2,059,889,015 ",-0.1061878916 ,-0.1176035027 ,338100,"미상 판관비, 배당--"," 2,052,000,000 ", 110 ,
2022,11,338100," 7,352,917,541 ",,,," 5,201,135,587 ",,,," 2,151,781,954 ", 0.0446106263 ,-0.0663143737 ,338100,," 2,146,000,000 ", 115 ,
2023,5,338100," 2,527,719,241 ",,,," 190,147,145 "," 81,529,828 ",,," 2,419,101,924 ", 0.1242319044 , 0.1743845937 ,338100,," 2,444,000,000 ", 131 ,
2023,11,338100," 12,780,163,155 ",," 2,710,791,204 ",," 9,462,059,116 ",,," 2,835,497,468 "," 3,442,810,303 ", 0.4231770348 , 0.5999810281 ,338100,수수료++++," 7,464,000,000 ", 400 ,
2024,5,338100," 3,387,602,245 ",,,," 1,458,378,337 ",,," 1,361,528,000 "," 3,290,751,908 ",-0.0441669397 , 0.3603196605 ,338100,," 2,612,000,000 ", 140 ,
2024,11,338100," 7,050,298,232 ",,,," 2,273,988,283 "," 5,570,430,049 "," 8,855,794,000 "," 1,720,175,164 "," 3,211,121,162 ",-0.0241983438 ,-0.0672965167 ,338100,"특정 외부로부터 일시적인 큰 배당금이 존재: 동시에 평가손실이 크게 발생, 일시적인 수수료++++"," 9,666,000,000 ", 518 ,
2025,5,338100," 10,765,984,216 ",," 26,260,751 ",," 8,914,852,764 ",,,," 1,824,870,701 ",-0.4317029446 ,-0.4454547921 ,338100,," 2,351,000,000 ", 126 ,
2020,12,348950," 15,149,976,623 "," 11,706,128,000 ", - , - ," 15,524,000 ",," 410,044,000 "," 1,221,468,000 "," 27,652,004,623 ", 14.1528569163 , 7.6113239669 ,348950,," 25,337,000,000 ", 153 ,
2021,6,348950," 18,084,166,924 "," 11,579,388,000 "," 4,403,000 ", - ,,," 2,091,119,000 "," 1,071,659,000 "," 28,639,691,924 ", 0.0357184701 , 14.6940937834 ,348950,," 31,464,000,000 ", 190 ,
2021,12,348950," 17,011,995,319 "," 11,638,889,000 ", - , - ,,," 909,650,000 "," 1,054,177,000 "," 28,795,411,319 ", 0.0054371882 , 0.0413498664 ,348950,," 31,464,000,000 ", 190 ,
