Code, Close , Marcap , Stocks ,Date
395400," 4,150 "," 1,121,050,617,850 "," 270,132,679 ",2024-04-03
365550," 4,595 "," 979,143,955,000 "," 213,089,000 ",2024-04-03
348950," 4,140 "," 817,136,640,000 "," 197,376,000 ",2024-04-03
330590," 3,300 "," 801,797,317,200 "," 242,968,884 ",2024-04-03
293940," 6,670 "," 587,627,820,410 "," 88,100,123 ",2024-04-03
357120," 5,050 "," 447,099,093,700 "," 88,534,474 ",2024-04-03
432320," 4,300 "," 436,081,425,500 "," 101,414,285 ",2024-04-03
448730," 5,190 "," 401,187,000,000 "," 77,300,000 ",2024-04-03
88260," 4,950 "," 313,540,870,500 "," 63,341,590 ",2024-04-03
334890," 4,640 "," 238,697,696,160 "," 51,443,469 ",2024-04-03
377190," 3,635 "," 234,094,000,000 "," 64,400,000 ",2024-04-03
404990," 4,130 "," 231,097,800,920 "," 55,955,884 ",2024-04-03
417310," 4,900 "," 197,960,000,000 "," 40,400,000 ",2024-04-03
400760," 3,650 "," 154,030,000,000 "," 42,200,000 ",2024-04-03
396690," 3,285 "," 130,105,512,900 "," 39,605,940 ",2024-04-03
350520," 3,895 "," 110,456,813,215 "," 28,358,617 ",2024-04-03
357250," 3,325 "," 83,108,724,125 "," 24,995,105 ",2024-04-03
204210," 10,400 "," 81,398,876,000 "," 7,826,815 ",2024-04-03
338100," 4,305 "," 80,331,300,000 "," 18,660,000 ",2024-04-03
357430," 2,895 "," 76,949,100,000 "," 26,580,000 ",2024-04-03
145270," 1,040 "," 49,983,204,960 "," 48,060,774 ",2024-04-03
140910," 3,130 "," 13,969,290,160 "," 4,463,032 ",2024-04-03
395400," 4,180 "," 1,129,154,598,220 "," 270,132,679 ",2024-04-04
365550," 4,580 "," 975,947,620,000 "," 213,089,000 ",2024-04-04
348950," 4,145 "," 818,123,520,000 "," 197,376,000 ",2024-04-04
330590," 3,330 "," 809,086,383,720 "," 242,968,884 ",2024-04-04
293940," 6,620 "," 583,222,814,260 "," 88,100,123 ",2024-04-04
357120," 5,020 "," 444,443,059,480 "," 88,534,474 ",2024-04-04
432320," 4,290 "," 435,067,282,650 "," 101,414,285 ",2024-04-04
448730," 5,200 "," 401,960,000,000 "," 77,300,000 ",2024-04-04
88260," 4,970 "," 314,807,702,300 "," 63,341,590 ",2024-04-04
334890," 4,600 "," 236,639,957,400 "," 51,443,469 ",2024-04-04
377190," 3,625 "," 233,450,000,000 "," 64,400,000 ",2024-04-04
404990," 4,110 "," 229,978,683,240 "," 55,955,884 ",2024-04-04
417310," 4,855 "," 196,142,000,000 "," 40,400,000 ",2024-04-04
400760," 3,645 "," 153,819,000,000 "," 42,200,000 ",2024-04-04
396690," 3,270 "," 129,511,423,800 "," 39,605,940 ",2024-04-04
350520," 3,895 "," 110,456,813,215 "," 28,358,617 ",2024-04-04
357250," 3,305 "," 82,608,822,025 "," 24,995,105 ",2024-04-04
338100," 4,295 "," 80,144,700,000 "," 18,660,000 ",2024-04-04
204210," 10,230 "," 80,068,317,450 "," 7,826,815 ",2024-04-04
357430," 2,870 "," 76,284,600,000 "," 26,580,000 ",2024-04-04
145270," 1,041 "," 50,031,265,734 "," 48,060,774 ",2024-04-04
140910," 3,130 "," 13,969,290,160 "," 4,463,032 ",2024-04-04
395400," 4,190 "," 1,131,855,925,010 "," 270,132,679 ",2024-04-05
365550," 4,505 "," 959,965,945,000 "," 213,089,000 ",2024-04-05
348950," 4,140 "," 817,136,640,000 "," 197,376,000 ",2024-04-05
330590," 3,335 "," 810,301,228,140 "," 242,968,884 ",2024-04-05
293940," 6,500 "," 572,650,799,500 "," 88,100,123 ",2024-04-05
357120," 4,995 "," 442,229,697,630 "," 88,534,474 ",2024-04-05
432320," 4,260 "," 432,024,854,100 "," 101,414,285 ",2024-04-05
448730," 5,130 "," 396,549,000,000 "," 77,300,000 ",2024-04-05
88260," 4,905 "," 310,690,498,950 "," 63,341,590 ",2024-04-05
334890," 4,610 "," 237,154,392,090 "," 51,443,469 ",2024-04-05
377190," 3,635 "," 234,094,000,000 "," 64,400,000 ",2024-04-05
404990," 4,085 "," 228,579,786,140 "," 55,955,884 ",2024-04-05
417310," 4,820 "," 194,728,000,000 "," 40,400,000 ",2024-04-05
400760," 3,625 "," 152,975,000,000 "," 42,200,000 ",2024-04-05
396690," 3,200 "," 126,739,008,000 "," 39,605,940 ",2024-04-05
350520," 3,905 "," 110,740,399,385 "," 28,358,617 ",2024-04-05
357250," 3,290 "," 82,233,895,450 "," 24,995,105 ",2024-04-05
338100," 4,285 "," 79,958,100,000 "," 18,660,000 ",2024-04-05
357430," 2,875 "," 76,417,500,000 "," 26,580,000 ",2024-04-05
204210," 7,170 "," 56,118,263,550 "," 7,826,815 ",2024-04-05
145270," 1,039 "," 49,935,144,186 "," 48,060,774 ",2024-04-05
140910," 3,130 "," 13,969,290,160 "," 4,463,032 ",2024-04-05
395400," 4,110 "," 1,110,245,310,690 "," 270,132,679 ",2024-04-08
365550," 4,455 "," 949,311,495,000 "," 213,089,000 ",2024-04-08
348950," 4,090 "," 807,267,840,000 "," 197,376,000 ",2024-04-08
330590," 3,285 "," 798,152,783,940 "," 242,968,884 ",2024-04-08
293940," 6,430 "," 566,483,790,890 "," 88,100,123 ",2024-04-08
357120," 5,020 "," 444,443,059,480 "," 88,534,474 ",2024-04-08
432320," 4,300 "," 436,081,425,500 "," 101,414,285 ",2024-04-08
448730," 5,090 "," 393,457,000,000 "," 77,300,000 ",2024-04-08
88260," 4,870 "," 308,473,543,300 "," 63,341,590 ",2024-04-08
334890," 4,585 "," 235,868,305,365 "," 51,443,469 ",2024-04-08
377190," 3,580 "," 230,552,000,000 "," 64,400,000 ",2024-04-08
404990," 4,000 "," 223,823,536,000 "," 55,955,884 ",2024-04-08
417310," 4,845 "," 195,738,000,000 "," 40,400,000 ",2024-04-08
400760," 3,585 "," 151,287,000,000 "," 42,200,000 ",2024-04-08
396690," 3,130 "," 123,966,592,200 "," 39,605,940 ",2024-04-08
350520," 3,905 "," 110,740,399,385 "," 28,358,617 ",2024-04-08
357250," 3,240 "," 80,984,140,200 "," 24,995,105 ",2024-04-08
338100," 4,290 "," 80,051,400,000 "," 18,660,000 ",2024-04-08
357430," 2,845 "," 75,620,100,000 "," 26,580,000 ",2024-04-08
204210," 7,170 "," 56,118,263,550 "," 7,826,815 ",2024-04-08
145270," 1,045 "," 50,223,508,830 "," 48,060,774 ",2024-04-08
140910," 3,130 "," 13,969,290,160 "," 4,463,032 ",2024-04-08
395400," 4,060 "," 1,096,738,676,740 "," 270,132,679 ",2024-04-09
365550," 4,350 "," 926,937,150,000 "," 213,089,000 ",2024-04-09
348950," 4,085 "," 806,280,960,000 "," 197,376,000 ",2024-04-09
330590," 3,270 "," 794,508,250,680 "," 242,968,884 ",2024-04-09
293940," 6,300 "," 555,030,774,900 "," 88,100,123 ",2024-04-09
357120," 5,010 "," 443,557,714,740 "," 88,534,474 ",2024-04-09
432320," 4,235 "," 429,489,496,975 "," 101,414,285 ",2024-04-09
448730," 5,090 "," 393,457,000,000 "," 77,300,000 ",2024-04-09
88260," 4,860 "," 307,840,127,400 "," 63,341,590 ",2024-04-09
334890," 4,605 "," 236,897,174,745 "," 51,443,469 ",2024-04-09
377190," 3,485 "," 224,434,000,000 "," 64,400,000 ",2024-04-09
404990," 3,990 "," 223,263,977,160 "," 55,955,884 ",2024-04-09
417310," 4,860 "," 196,344,000,000 "," 40,400,000 ",2024-04-09
400760," 3,535 "," 149,177,000,000 "," 42,200,000 ",2024-04-09
396690," 3,050 "," 120,798,117,000 "," 39,605,940 ",2024-04-09
350520," 3,910 "," 110,882,192,470 "," 28,358,617 ",2024-04-09
338100," 4,270 "," 79,678,200,000 "," 18,660,000 ",2024-04-09
357250," 3,185 "," 79,609,409,425 "," 24,995,105 ",2024-04-09
357430," 2,840 "," 75,487,200,000 "," 26,580,000 ",2024-04-09
204210," 6,890 "," 53,926,755,350 "," 7,826,815 ",2024-04-09
145270," 1,040 "," 49,983,204,960 "," 48,060,774 ",2024-04-09
140910," 3,130 "," 13,969,290,160 "," 4,463,032 ",2024-04-09
395400," 4,050 "," 1,094,037,349,950 "," 270,132,679 ",2024-04-11
365550," 4,345 "," 925,871,705,000 "," 213,089,000 ",2024-04-11
348950," 4,065 "," 802,333,440,000 "," 197,376,000 ",2024-04-11
330590," 3,235 "," 786,004,339,740 "," 242,968,884 ",2024-04-11
293940," 6,250 "," 550,625,768,750 "," 88,100,123 ",2024-04-11
357120," 4,965 "," 439,573,663,410 "," 88,534,474 ",2024-04-11
432320," 4,240 "," 429,996,568,400 "," 101,414,285 ",2024-04-11
448730," 5,020 "," 388,046,000,000 "," 77,300,000 ",2024-04-11
88260," 4,860 "," 307,840,127,400 "," 63,341,590 ",2024-04-11
334890," 4,755 "," 244,613,695,095 "," 51,443,469 ",2024-04-11
377190," 3,435 "," 221,214,000,000 "," 64,400,000 ",2024-04-11
404990," 3,920 "," 219,347,065,280 "," 55,955,884 ",2024-04-11
417310," 4,895 "," 197,758,000,000 "," 40,400,000 ",2024-04-11
400760," 3,515 "," 148,333,000,000 "," 42,200,000 ",2024-04-11
396690," 3,070 "," 121,590,235,800 "," 39,605,940 ",2024-04-11
350520," 4,010 "," 113,718,054,170 "," 28,358,617 ",2024-04-11
338100," 4,270 "," 79,678,200,000 "," 18,660,000 ",2024-04-11
357250," 3,175 "," 79,359,458,375 "," 24,995,105 ",2024-04-11
357430," 2,830 "," 75,221,400,000 "," 26,580,000 ",2024-04-11
145270," 1,031 "," 49,550,657,994 "," 48,060,774 ",2024-04-11
204210," 4,830 "," 37,803,516,450 "," 7,826,815 ",2024-04-11
140910," 3,130 "," 13,969,290,160 "," 4,463,032 ",2024-04-11
395400," 4,095 "," 1,106,193,320,505 "," 270,132,679 ",2024-04-12
365550," 4,390 "," 935,460,710,000 "," 213,089,000 ",2024-04-12
348950," 4,075 "," 804,307,200,000 "," 197,376,000 ",2024-04-12
330590," 3,230 "," 784,789,495,320 "," 242,968,884 ",2024-04-12
293940," 6,360 "," 560,316,782,280 "," 88,100,123 ",2024-04-12
357120," 4,985 "," 441,344,352,890 "," 88,534,474 ",2024-04-12
432320," 4,265 "," 432,531,925,525 "," 101,414,285 ",2024-04-12
448730," 5,020 "," 388,046,000,000 "," 77,300,000 ",2024-04-12
88260," 4,885 "," 309,423,667,150 "," 63,341,590 ",2024-04-12
334890," 4,790 "," 246,414,216,510 "," 51,443,469 ",2024-04-12
377190," 3,455 "," 222,502,000,000 "," 64,400,000 ",2024-04-12
404990," 3,900 "," 218,227,947,600 "," 55,955,884 ",2024-04-12
417310," 4,910 "," 198,364,000,000 "," 40,400,000 ",2024-04-12
400760," 3,490 "," 147,278,000,000 "," 42,200,000 ",2024-04-12
396690," 3,060 "," 121,194,176,400 "," 39,605,940 ",2024-04-12
350520," 4,020 "," 114,001,640,340 "," 28,358,617 ",2024-04-12
338100," 4,285 "," 79,958,100,000 "," 18,660,000 ",2024-04-12
357250," 3,185 "," 79,609,409,425 "," 24,995,105 ",2024-04-12
357430," 2,845 "," 75,620,100,000 "," 26,580,000 ",2024-04-12
145270," 1,029 "," 49,454,536,446 "," 48,060,774 ",2024-04-12
204210," 4,145 "," 32,442,148,175 "," 7,826,815 ",2024-04-12
140910," 3,130 "," 13,969,290,160 "," 4,463,032 ",2024-04-12
395400," 4,050 "," 1,094,037,349,950 "," 270,132,679 ",2024-04-15
365550," 4,405 "," 938,657,045,000 "," 213,089,000 ",2024-04-15
348950," 4,065 "," 802,333,440,000 "," 197,376,000 ",2024-04-15
330590," 3,195 "," 776,285,584,380 "," 242,968,884 ",2024-04-15
293940," 6,290 "," 554,149,773,670 "," 88,100,123 ",2024-04-15
357120," 4,950 "," 438,245,646,300 "," 88,534,474 ",2024-04-15
432320," 4,255 "," 431,517,782,675 "," 101,414,285 ",2024-04-15
448730," 5,020 "," 388,046,000,000 "," 77,300,000 ",2024-04-15
88260," 4,870 "," 308,473,543,300 "," 63,341,590 ",2024-04-15
334890," 4,860 "," 250,015,259,340 "," 51,443,469 ",2024-04-15
377190," 3,420 "," 220,248,000,000 "," 64,400,000 ",2024-04-15
404990," 3,885 "," 217,388,609,340 "," 55,955,884 ",2024-04-15
417310," 4,930 "," 199,172,000,000 "," 40,400,000 ",2024-04-15
400760," 3,460 "," 146,012,000,000 "," 42,200,000 ",2024-04-15
396690," 3,070 "," 121,590,235,800 "," 39,605,940 ",2024-04-15
350520," 4,015 "," 113,859,847,255 "," 28,358,617 ",2024-04-15
338100," 4,275 "," 79,771,500,000 "," 18,660,000 ",2024-04-15
357250," 3,160 "," 78,984,531,800 "," 24,995,105 ",2024-04-15
357430," 2,840 "," 75,487,200,000 "," 26,580,000 ",2024-04-15
145270," 1,026 "," 49,310,354,124 "," 48,060,774 ",2024-04-15
