VALUESearch - ETF정보 / A476800.삼성 KODEX 한국부동산리츠인프라부동산상장지수투자신탁[재간접형],,,,,,,,,,,,Report as of : 2025-11-23
기준일자,시가,고가,저가,종가,거래량,거래대금,상장주식수,1개월수익률,3개월수익률,6개월수익률,1년수익률,상장후수익률
,"5,205.  ","5,210.  ","5,190.  ","5,195.  ","508,365.  ","2,645,426,355.  ","10,050,000.  ",.  ,.02  ,.03  ,.03  ,.01  
,"5,205.  ","5,215.  ","5,195.  ","5,210.  ","458,849.  ","2,388,982,455.  ","10,100,000.  ",.  ,.01  ,.03  ,.03  ,.01  
,"5,215.  ","5,215.  ","5,200.  ","5,215.  ","586,566.  ","3,054,699,775.  ","10,100,000.  ",.  ,.01  ,.03  ,.03  ,.02  
,"5,220.  ","5,245.  ","5,215.  ","5,230.  ","592,738.  ","3,099,183,880.  ","10,100,000.  ",.  ,.02  ,.04  ,.04  ,.02  
,"5,245.  ","5,255.  ","5,240.  ","5,250.  ","418,137.  ","2,194,847,550.  ","10,150,000.  ",.  ,.02  ,.04  ,.04  ,.02  
,"5,250.  ","5,250.  ","5,220.  ","5,235.  ","369,818.  ","1,935,365,295.  ","10,150,000.  ",.  ,.02  ,.04  ,.04  ,.02  
,"5,230.  ","5,230.  ","5,190.  ","5,210.  ","255,273.  ","1,329,031,965.  ","10,150,000.  ",.  ,.01  ,.03  ,.03  ,.01  
,"5,225.  ","5,235.  ","5,215.  ","5,235.  ","232,138.  ","1,213,071,520.  ","10,150,000.  ",.  ,.01  ,.04  ,.04  ,.02  
,"5,240.  ","5,245.  ","5,205.  ","5,230.  ","275,526.  ","1,439,236,280.  ","10,250,000.  ",.  ,.01  ,.04  ,.04  ,.02  
,"5,225.  ","5,230.  ","5,190.  ","5,200.  ","517,602.  ","2,691,372,735.  ","10,400,000.  ",-.01  ,.01  ,.03  ,.03  ,.01  
,"5,205.  ","5,210.  ","5,190.  ","5,210.  ","251,191.  ","1,306,163,590.  ","10,500,000.  ",-.02  ,.02  ,.03  ,.03  ,.01  
,"5,215.  ","5,215.  ","5,175.  ","5,190.  ","405,382.  ","2,104,680,950.  ","11,550,000.  ",-.02  ,.02  ,.03  ,.03  ,.01  
,"5,190.  ","5,195.  ","5,175.  ","5,190.  ","372,508.  ","1,931,782,570.  ","11,750,000.  ",-.02  ,.02  ,.03  ,.03  ,.01  
,"5,200.  ","5,200.  ","5,190.  ","5,200.  ","263,181.  ","1,367,444,205.  ","13,300,000.  ",-.02  ,.03  ,.03  ,.03  ,.01  
,"5,190.  ","5,200.  ","5,185.  ","5,200.  ","232,539.  ","1,207,015,970.  ","14,350,000.  ",-.01  ,.03  ,.04  ,.04  ,.01  
,"5,205.  ","5,210.  ","5,195.  ","5,205.  ","154,865.  ","805,585,040.  ","14,350,000.  ",.  ,.04  ,.04  ,.04  ,.01  
,"5,220.  ","5,230.  ","5,205.  ","5,230.  ","698,169.  ","3,650,064,585.  ","14,350,000.  ",.01  ,.06  ,.04  ,.04  ,.02  
,"5,235.  ","5,275.  ","5,235.  ","5,270.  ","288,560.  ","1,518,783,730.  ","14,350,000.  ",.03  ,.07  ,.05  ,.05  ,.03  
,"5,265.  ","5,285.  ","5,265.  ","5,285.  ","259,845.  ","1,370,909,610.  ","14,100,000.  ",.03  ,.07  ,.05  ,.05  ,.03  
,"5,285.  ","5,295.  ","5,280.  ","5,290.  ","146,982.  ","777,138,905.  ","14,600,000.  ",.04  ,.07  ,.06  ,.06  ,.03  
,"5,305.  ","5,305.  ","5,285.  ","5,305.  ","205,904.  ","1,090,340,960.  ","14,600,000.  ",.03  ,.06  ,.06  ,.06  ,.03  
,"5,290.  ","5,315.  ","5,285.  ","5,290.  ","250,047.  ","1,324,675,835.  ","14,650,000.  ",.03  ,.06  ,.06  ,.06  ,.03  
,"5,300.  ","5,310.  ","5,285.  ","5,310.  ","160,393.  ","848,909,760.  ","14,650,000.  ",.03  ,.06  ,.06  ,.06  ,.03  
,"5,300.  ","5,305.  ","5,265.  ","5,295.  ","124,057.  ","655,003,795.  ","14,650,000.  ",.02  ,.05  ,.06  ,.06  ,.03  
,"5,305.  ","5,310.  ","5,290.  ","5,310.  ","100,420.  ","532,842,910.  ","14,700,000.  ",.03  ,.06  ,.06  ,.06  ,.03  
,"5,310.  ","5,350.  ","5,310.  ","5,345.  ","254,513.  ","1,358,682,060.  ","14,700,000.  ",.02  ,.06  ,.07  ,.07  ,.04  
,"5,360.  ","5,400.  ","5,350.  ","5,395.  ","153,159.  ","825,173,910.  ","14,700,000.  ",.03  ,.07  ,.08  ,.08  ,.05  
,"5,425.  ","5,470.  ","5,400.  ","5,460.  ","248,143.  ","1,351,754,835.  ","14,700,000.  ",.05  ,.08  ,.09  ,.09  ,.06  
,"5,460.  ","5,475.  ","5,450.  ","5,460.  ","224,443.  ","1,225,280,455.  ","14,700,000.  ",.05  ,.08  ,.09  ,.09  ,.06  
,"5,450.  ","5,460.  ","5,375.  ","5,385.  ","387,214.  ","2,094,755,895.  ","14,700,000.  ",.04  ,.07  ,.07  ,.07  ,.05  
,"5,375.  ","5,375.  ","4,970.  ","5,145.  ","946,141.  ","4,928,838,680.  ","14,700,000.  ",.  ,.02  ,.03  ,.03  ,.  
,"5,220.  ","5,310.  ","5,210.  ","5,310.  ","338,015.  ","1,782,155,055.  ","14,750,000.  ",.03  ,.05  ,.06  ,.06  ,.03  
,"5,310.  ","5,370.  ","5,310.  ","5,345.  ","318,650.  ","1,704,250,485.  ","15,050,000.  ",.03  ,.06  ,.07  ,.07  ,.04  
,"5,345.  ","5,345.  ","5,250.  ","5,290.  ","272,252.  ","1,448,622,130.  ","15,100,000.  ",.02  ,.04  ,.06  ,.06  ,.03  
,"5,300.  ","5,325.  ","5,270.  ","5,290.  ","396,461.  ","2,098,158,870.  ","15,100,000.  ",.03  ,.02  ,.06  ,.06  ,.03  
,"5,295.  ","5,370.  ","5,295.  ","5,370.  ","222,307.  ","1,185,472,385.  ","15,100,000.  ",.03  ,.04  ,.07  ,.07  ,.05  
,"5,280.  ","5,305.  ","5,270.  ","5,295.  ","343,435.  ","1,814,911,775.  ","15,350,000.  ",.02  ,.03  ,.06  ,.06  ,.03  
,"5,305.  ","5,320.  ","5,295.  ","5,310.  ","179,578.  ","953,466,570.  ","15,350,000.  ",.03  ,.03  ,.07  ,.07  ,.03  
,"5,335.  ","5,335.  ","5,300.  ","5,310.  ","206,661.  ","1,097,117,065.  ","15,350,000.  ",.02  ,.03  ,.07  ,.07  ,.03  
,"5,310.  ","5,315.  ","5,290.  ","5,295.  ","247,078.  ","1,309,403,385.  ","15,500,000.  ",.01  ,.02  ,.06  ,.06  ,.03  
,"5,295.  ","5,300.  ","5,255.  ","5,265.  ","313,307.  ","1,653,180,315.  ","15,550,000.  ",.  ,.02  ,.06  ,.06  ,.03  
,"5,280.  ","5,280.  ","5,240.  ","5,255.  ","189,248.  ","993,588,410.  ","15,550,000.  ",.  ,.02  ,.06  ,.06  ,.02  
,"5,255.  ","5,280.  ","5,245.  ","5,260.  ","204,394.  ","1,073,835,465.  ","15,650,000.  ",.  ,.02  ,.06  ,.06  ,.02  
,"5,255.  ","5,275.  ","5,240.  ","5,275.  ","179,651.  ","945,671,555.  ","16,050,000.  ",.  ,.03  ,.06  ,.06  ,.03  
,"5,275.  ","5,300.  ","5,275.  ","5,290.  ","654,119.  ","3,461,160,605.  ","16,050,000.  ",.  ,.03  ,.06  ,.06  ,.03  
