Date,Close,ticker,Close,ticker,Close,ticker,Close,ticker,Close,ticker
2024-01-18,71700,005930,136200,000660,56800,035720,180200,005380,216500,035420
2024-01-17,71000,005930,131000,000660,57500,035720,181800,005380,219000,035420
2024-01-16,72600,005930,132100,000660,59600,035720,186200,005380,230000,035420
2024-01-15,73900,005930,134100,000660,61100,035720,187500,005380,229500,035420
2024-01-12,73100,005930,134100,000660,60400,035720,186000,005380,230500,035420
2024-01-11,73200,005930,136000,000660,60800,035720,187000,005380,231500,035420
2024-01-10,73600,005930,133500,000660,59200,035720,186700,005380,231000,035420
2024-01-09,74700,005930,137400,000660,58700,035720,185600,005380,229500,035420
2024-01-08,76500,005930,136000,000660,57200,035720,185700,005380,226500,035420
2024-01-05,76600,005930,137500,000660,55800,035720,187300,005380,220500,035420
2024-01-04,76600,005930,136400,000660,57200,035720,190000,005380,223000,035420
2024-01-03,77000,005930,136800,000660,56600,035720,193800,005380,222000,035420
2024-01-02,79600,005930,142400,000660,57900,035720,200500,005380,227500,035420
2023-12-28,78500,005930,141500,000660,54300,035720,203500,005380,224000,035420
2023-12-27,78000,005930,140400,000660,53400,035720,198500,005380,223000,035420
2023-12-26,76600,005930,140900,000660,52400,035720,198800,005380,215500,035420
2023-12-22,75900,005930,140600,000660,52800,035720,199000,005380,215000,035420
2023-12-21,75000,005930,140500,000660,52800,035720,198700,005380,216500,035420
2023-12-20,74800,005930,140500,000660,53700,035720,199100,005380,220500,035420
2023-12-19,73400,005930,138200,000660,53800,035720,192200,005380,222500,035420
2023-12-18,72900,005930,140000,000660,53900,035720,192000,005380,223000,035420
2023-12-15,73300,005930,140000,000660,54900,035720,192800,005380,226000,035420
2023-12-14,73100,005930,136700,000660,54300,035720,184800,005380,223000,035420
2023-12-13,72800,005930,131200,000660,50900,035720,185000,005380,213500,035420
2023-12-12,73500,005930,131000,000660,51800,035720,185600,005380,213500,035420
2023-12-11,73000,005930,128900,000660,52100,035720,185400,005380,217500,035420
2023-12-08,72600,005930,127500,000660,51700,035720,185100,005380,217500,035420
2023-12-07,71500,005930,125600,000660,50500,035720,182600,005380,212500,035420
2023-12-06,71700,005930,125600,000660,50500,035720,182900,005380,213500,035420
2023-12-05,71200,005930,125900,000660,50800,035720,181400,005380,213000,035420
2023-12-04,72600,005930,131100,000660,50800,035720,181600,005380,210500,035420
2023-12-01,72000,005930,132600,000660,49700,035720,182800,005380,206000,035420
2023-11-30,72800,005930,133900,000660,50500,035720,184300,005380,208000,035420
2023-11-29,72700,005930,130400,000660,50500,035720,184800,005380,207500,035420
2023-11-28,72700,005930,131400,000660,51100,035720,185700,005380,207500,035420
2023-11-27,71300,005930,130700,000660,49850,035720,184900,005380,206000,035420
2023-11-24,71700,005930,128000,000660,50500,035720,184000,005380,205500,035420
2023-11-23,72400,005930,130100,000660,50300,035720,184800,005380,205500,035420
2023-11-22,72800,005930,131300,000660,50300,035720,183000,005380,207500,035420
2023-11-21,72800,005930,132000,000660,49250,035720,184200,005380,204500,035420
2023-11-20,72700,005930,131400,000660,47800,035720,183600,005380,202500,035420
2023-11-17,72500,005930,129900,000660,47500,035720,184400,005380,202000,035420
2023-11-16,72800,005930,132300,000660,48200,035720,184800,005380,203000,035420
2023-11-15,72200,005930,134100,000660,48300,035720,182500,005380,205500,035420
2023-11-14,70800,005930,130000,000660,46350,035720,175200,005380,198600,035420
2023-11-13,70400,005930,131800,000660,45000,035720,173300,005380,192600,035420
2023-11-10,70500,005930,130500,000660,45650,035720,173700,005380,194700,035420
2023-11-09,70300,005930,128000,000660,45600,035720,174700,005380,198200,035420
2023-11-08,69900,005930,127600,000660,43950,035720,174800,005380,197400,035420
2023-11-07,70900,005930,130400,000660,43750,035720,176100,005380,200500,035420
2023-11-06,70900,005930,133000,000660,44700,035720,177900,005380,205500,035420
2023-11-03,69600,005930,125800,000660,41300,035720,173400,005380,200500,035420
2023-11-02,69700,005930,125300,000660,38550,035720,172000,005380,190800,035420
2023-11-01,68600,005930,120300,000660,37600,035720,170300,005380,187700,035420
2023-10-31,66900,005930,116300,000660,37800,035720,169700,005380,187400,035420
2023-10-30,67300,005930,119100,000660,38000,035720,172500,005380,186100,035420
2023-10-27,67300,005930,119100,000660,37750,035720,175600,005380,185400,035420
2023-10-26,66700,005930,120000,000660,37650,035720,179500,005380,181900,035420
2023-10-25,68000,005930,127500,000660,38950,035720,182000,005380,189100,035420
2023-10-24,68500,005930,126800,000660,39600,035720,182800,005380,187000,035420
2023-10-23,68400,005930,124000,000660,37950,035720,185400,005380,178300,035420
2023-10-20,68800,005930,126200,000660,39050,035720,183500,005380,180200,035420
2023-10-19,69500,005930,125700,000660,40500,035720,188900,005380,181400,035420
2023-10-18,70500,005930,130000,000660,41800,035720,191800,005380,186300,035420
2023-10-17,69400,005930,130000,000660,42800,035720,188500,005380,188500,035420
2023-10-16,67300,005930,124100,000660,43150,035720,186800,005380,189700,035420
2023-10-13,68000,005930,124700,000660,43200,035720,187100,005380,191800,035420
2023-10-12,68900,005930,124200,000660,43650,035720,188000,005380,193600,035420
2023-10-11,68200,005930,119200,000660,42650,035720,189400,005380,193000,035420
2023-10-10,66400,005930,119500,000660,41400,035720,188400,005380,191200,035420
2023-10-06,66000,005930,120400,000660,42050,035720,192200,005380,190900,035420
2023-10-05,66700,005930,120200,000660,40850,035720,190500,005380,189400,035420
2023-10-04,67500,005930,115400,000660,41600,035720,190800,005380,191200,035420
2023-09-27,68400,005930,114700,000660,43950,035720,191100,005380,201500,035420
2023-09-26,68600,005930,115000,000660,43750,035720,190700,005380,201000,035420
2023-09-25,69400,005930,117000,000660,44800,035720,192900,005380,206500,035420
2023-09-22,68800,005930,117300,000660,45050,035720,191500,005380,208000,035420
2023-09-21,68900,005930,116500,000660,45650,035720,191900,005380,210000,035420
2023-09-20,69600,005930,118000,000660,47100,035720,194900,005380,217500,035420
2023-09-19,69800,005930,119200,000660,47850,035720,190000,005380,219500,035420
2023-09-18,70200,005930,119000,000660,48600,035720,191000,005380,221500,035420
2023-09-15,72000,005930,122400,000660,48850,035720,192200,005380,229500,035420
2023-09-14,71700,005930,122200,000660,48300,035720,190700,005380,225500,035420
2023-09-13,70900,005930,118500,000660,47800,035720,189800,005380,222000,035420
2023-09-12,70500,005930,116700,000660,48400,035720,186200,005380,219500,035420
2023-09-11,70800,005930,115900,000660,48250,035720,185500,005380,211500,035420
2023-09-08,70300,005930,113700,000660,48250,035720,185700,005380,215000,035420
2023-09-07,70400,005930,118500,000660,48750,035720,187200,005380,216500,035420
2023-09-06,70000,005930,118200,000660,49050,035720,186700,005380,214000,035420
2023-09-05,70700,005930,119400,000660,48900,035720,186600,005380,212000,035420
2023-09-04,71200,005930,119200,000660,49100,035720,187300,005380,211500,035420
2023-09-01,71000,005930,120000,000660,48950,035720,187400,005380,214500,035420
2023-08-31,66900,005930,121800,000660,48100,035720,189100,005380,214500,035420
2023-08-30,67100,005930,119400,000660,49000,035720,187800,005380,217500,035420
2023-08-29,66800,005930,118600,000660,48600,035720,186700,005380,218000,035420
2023-08-28,66800,005930,115900,000660,48000,035720,185400,005380,213500,035420
2023-08-25,67100,005930,116500,000660,48100,035720,186200,005380,211000,035420
2023-08-24,68200,005930,120900,000660,49100,035720,186400,005380,229000,035420
2023-08-23,67100,005930,116000,000660,48900,035720,187500,005380,215500,035420
2023-08-22,66600,005930,116500,000660,48650,035720,187900,005380,221000,035420
2023-08-21,66600,005930,116400,000660,48400,035720,186100,005380,214500,035420
2023-08-18,66300,005930,117200,000660,48450,035720,186100,005380,212500,035420
2023-08-17,66700,005930,114800,000660,49250,035720,184800,005380,218000,035420
2023-08-16,67000,005930,115800,000660,50300,035720,185800,005380,222500,035420
2023-08-14,67300,005930,114900,000660,50700,035720,188800,005380,221000,035420
2023-08-11,67500,005930,115300,000660,51600,035720,190500,005380,222000,035420
2023-08-10,68000,005930,118500,000660,52600,035720,188400,005380,225000,035420
2023-08-09,68900,005930,118500,000660,52800,035720,189400,005380,227500,035420
2023-08-08,67600,005930,118600,000660,51800,035720,188400,005380,223000,035420
2023-08-07,68500,005930,121900,000660,52700,035720,188000,005380,234500,035420
2023-08-04,68300,005930,120100,000660,51800,035720,192200,005380,223500,035420
2023-08-03,68800,005930,120000,000660,53300,035720,191700,005380,223000,035420
2023-08-02,69900,005930,119500,000660,53200,035720,192500,005380,227500,035420
2023-08-01,71100,005930,125100,000660,54900,035720,199400,005380,233000,035420
2023-07-31,69800,005930,123400,000660,51300,035720,196000,005380,227000,035420
2023-07-28,70600,005930,128000,000660,50600,035720,196800,005380,211000,035420
2023-07-27,71700,005930,124000,000660,50600,035720,197800,005380,211500,035420
2023-07-26,69800,005930,113000,000660,47800,035720,198700,005380,197700,035420
2023-07-25,70000,005930,113400,000660,48850,035720,200500,005380,201000,035420
2023-07-24,70400,005930,114000,000660,49850,035720,199200,005380,203000,035420
2023-07-21,70300,005930,115100,000660,50600,035720,200000,005380,206000,035420
2023-07-20,71000,005930,116900,000660,50500,035720,200500,005380,204500,035420
2023-07-19,71700,005930,117500,000660,50400,035720,202000,005380,204500,035420
2023-07-18,72000,005930,117800,000660,51800,035720,201500,005380,209000,035420
2023-07-17,73300,005930,117200,000660,52700,035720,203500,005380,206500,035420
2023-07-14,73400,005930,118000,000660,52800,035720,208500,005380,204500,035420
2023-07-13,71900,005930,114100,000660,51900,035720,203500,005380,199700,035420
2023-07-12,71900,005930,115400,000660,51600,035720,203500,005380,202000,035420
2023-07-11,71500,005930,113400,000660,50700,035720,207000,005380,197400,035420
2023-07-10,69500,005930,110300,000660,49850,035720,205500,005380,193200,035420
2023-07-07,69900,005930,111800,000660,49850,035720,204000,005380,195000,035420
2023-07-06,71600,005930,113800,000660,50900,035720,206500,005380,195500,035420
2023-07-05,72000,005930,116700,000660,48850,035720,205500,005380,186500,035420
2023-07-04,73000,005930,117900,000660,49950,035720,208000,005380,188700,035420
2023-07-03,73000,005930,117600,000660,51000,035720,208500,005380,189300,035420
2023-06-30,72200,005930,115200,000660,49100,035720,206500,005380,182800,035420
2023-06-29,72400,005930,116200,000660,49000,035720,204500,005380,183400,035420
2023-06-28,72700,005930,114300,000660,49000,035720,206000,005380,184800,035420
2023-06-27,72600,005930,113000,000660,49350,035720,206000,005380,185900,035420
2023-06-26,72400,005930,113500,000660,50000,035720,200500,005380,188900,035420
2023-06-23,71600,005930,113600,000660,49700,035720,199900,005380,188900,035420
2023-06-22,71300,005930,114000,000660,50300,035720,202000,005380,191300,035420
2023-06-21,70500,005930,115100,000660,50500,035720,204000,005380,189900,035420
2023-06-20,71400,005930,116100,000660,51700,035720,197900,005380,198500,035420
2023-06-19,71200,005930,114800,000660,52500,035720,199300,005380,198600,035420
2023-06-16,71800,005930,118900,000660,53600,035720,199400,005380,202500,035420
2023-06-15,71500,005930,119000,000660,53900,035720,199700,005380,200500,035420
2023-06-14,71900,005930,118800,000660,55700,035720,201000,005380,199200,035420
2023-06-13,72000,005930,119500,000660,56400,035720,198000,005380,201000,035420
2023-06-12,71000,005930,114800,000660,56600,035720,196200,005380,200500,035420
2023-06-09,72000,005930,115400,000660,56400,035720,197100,005380,200500,035420
2023-06-08,70900,005930,109700,000660,56500,035720,196700,005380,200500,035420
2023-06-07,71000,005930,108000,000660,57400,035720,196400,005380,205000,035420
2023-06-05,71700,005930,108700,000660,57100,035720,201000,005380,204500,035420
2023-06-02,72200,005930,110300,000660,57200,035720,199500,005380,204500,035420
2023-06-01,70900,005930,110300,000660,56100,035720,197500,005380,204000,035420
2023-05-31,71400,005930,108600,000660,56200,035720,200000,005380,199500,035420
2023-05-30,72300,005930,110300,000660,56800,035720,200500,005380,201500,035420
2023-05-26,70300,005930,109200,000660,56600,035720,205500,005380,202500,035420
2023-05-25,68800,005930,103500,000660,56700,035720,203500,005380,206000,035420
2023-05-24,68500,005930,97700,000660,56800,035720,207500,005380,203000,035420
2023-05-23,68400,005930,97900,000660,58000,035720,207500,005380,212000,035420
2023-05-22,68500,005930,98200,000660,57900,035720,207500,005380,215000,035420
2023-05-19,68400,005930,97300,000660,57900,035720,205500,005380,216500,035420
2023-05-18,66200,005930,93600,000660,57200,035720,206500,005380,212500,035420
2023-05-17,65000,005930,91900,000660,57700,035720,204500,005380,213000,035420
2023-05-16,65400,005930,90400,000660,56100,035720,202500,005380,207500,035420
2023-05-15,64500,005930,86400,000660,56800,035720,208000,005380,212000,035420
2023-05-12,64100,005930,87200,000660,56600,035720,208500,005380,213500,035420
2023-05-11,64200,005930,86300,000660,56000,035720,208000,005380,211000,035420
2023-05-10,64600,005930,86900,000660,56500,035720,210000,005380,210000,035420
2023-05-09,65300,005930,87300,000660,57500,035720,205000,005380,211000,035420
2023-05-08,65900,005930,88700,000660,57700,035720,202500,005380,207000,035420
2023-05-04,65100,005930,88700,000660,57200,035720,199200,005380,196100,035420
2023-05-03,65400,005930,89800,000660,58300,035720,201000,005380,192600,035420
