Code,Date,Year,Month,Day,Div_total,Div_per_stock,Div_per_stock_ytd,Div_yield
365550,2025-05-31,2025,5,31,"29,193,193,000.00",137,137,0.14
365550,2024-11-30,2024,11,30,"29,193,193,000.00",137,274,0.14
365550,2024-05-31,2024,5,31,"29,193,193,000.00",137,137,0.14
365550,2023-11-30,2023,11,30,"29,193,193,000.00",137,272,0.14
365550,2023-05-31,2023,5,31,"28,767,015,000.00",135,135,0.14
365550,2022-05-31,2022,5,31,"28,553,926,000.00",134,134,0.13
365550,2021-11-30,2021,11,30,"19,196,706,000.00",134,268,0.13
365550,2021-05-31,2021,5,31,"19,263,536,138.00",134,134,0.13
357120,2025-05-31,2025,5,31,"15,891,417,929.00",163,163,0.33
357120,2024-11-30,2024,11,30,"24,217,451,885.00",249,417,0.5
357120,2024-05-31,2024,5,31,"14,873,369,866.00",168,168,0.34
357120,2023-11-30,2023,11,30,"14,859,028,294.00",168,368,0.34
357120,2023-05-31,2023,5,31,"17,735,243,646.00",200,200,0.4
357120,2022-05-31,2022,5,31,"15,684,130,435.00",177,177,0.35
357120,2021-11-30,2021,11,30,"22,198,201,401.00",319,485,0.64
357120,2021-05-31,2021,5,31,"11,606,080,680.00",166,166,0.33
357120,2020-11-30,2020,11,30,"9,172,553,132.00",131,131,0.26
348950,2025-06-30,2025,6,30,"22,698,240,000.00",115,115,0.12
348950,2024-12-31,2024,12,31,"38,488,320,000.00",195,390,0.2
348950,2024-06-30,2024,6,30,"38,488,320,000.00",195,195,0.2
348950,2023-12-31,2023,12,31,"38,488,320,000.00",195,385,0.2
348950,2023-06-30,2023,6,30,"37,501,440,000.00",190,190,0.19
348950,2022-12-31,2022,12,31,"37,501,440,000.00",190,380,0.19
348950,2022-06-30,2022,6,30,"31,464,000,000.00",190,190,0.19
348950,2021-12-31,2021,12,31,"31,464,000,000.00",190,380,0.19
348950,2021-06-30,2021,6,30,"31,464,000,000.00",190,190,0.19
348950,2020-12-31,2020,12,31,"25,336,800,000.00",153,153,0.15
357250,2025-05-31,2025,5,31,"3,423,749,709.00",137,137,0.14
357250,2024-11-30,2024,11,30,"3,299,353,860.00",132,284,0.13
